dataset	byzantine_fraction	noise_variance	attack_mode	samples_per_node	accuracy_type	accuracy	Aggregation Method
spambase	0.1	0.01	add_noise	16	noisy_train_accuracy	90.95108695652176	mean with noise
spambase	0.1	0.1	add_noise	16	noisy_train_accuracy	91.08695652173913	mean with noise
spambase	0.1	1.0	add_noise	16	noisy_train_accuracy	91.03260869565216	mean with noise
spambase	0.1	10.0	add_noise	16	noisy_train_accuracy	90.84239130434784	mean with noise
spambase	0.1	100.0	add_noise	16	noisy_train_accuracy	89.97282608695653	mean with noise
spambase	0.1	200.0	add_noise	16	noisy_train_accuracy	89.53804347826086	mean with noise
spambase	0.1	0.01	add_noise	32	noisy_train_accuracy	90.65217391304348	mean with noise
spambase	0.1	0.1	add_noise	32	noisy_train_accuracy	90.67934782608695	mean with noise
spambase	0.1	1.0	add_noise	32	noisy_train_accuracy	90.35326086956522	mean with noise
spambase	0.1	10.0	add_noise	32	noisy_train_accuracy	90.46195652173913	mean with noise
spambase	0.1	100.0	add_noise	32	noisy_train_accuracy	89.2663043478261	mean with noise
spambase	0.1	200.0	add_noise	32	noisy_train_accuracy	88.8586956521739	mean with noise
spambase	0.1	0.01	add_noise	64	noisy_train_accuracy	90.40760869565216	mean with noise
spambase	0.1	0.1	add_noise	64	noisy_train_accuracy	90.43478260869566	mean with noise
spambase	0.1	1.0	add_noise	64	noisy_train_accuracy	90.0	mean with noise
spambase	0.1	10.0	add_noise	64	noisy_train_accuracy	90.59782608695652	mean with noise
spambase	0.1	100.0	add_noise	64	noisy_train_accuracy	89.40217391304348	mean with noise
spambase	0.1	200.0	add_noise	64	noisy_train_accuracy	86.46739130434783	mean with noise
spambase	0.1	0.01	add_noise	128	noisy_train_accuracy	90.2445652173913	mean with noise
spambase	0.1	0.1	add_noise	128	noisy_train_accuracy	90.19021739130434	mean with noise
spambase	0.1	1.0	add_noise	128	noisy_train_accuracy	90.1086956521739	mean with noise
spambase	0.1	10.0	add_noise	128	noisy_train_accuracy	90.1086956521739	mean with noise
spambase	0.1	100.0	add_noise	128	noisy_train_accuracy	88.42391304347827	mean with noise
spambase	0.1	200.0	add_noise	128	noisy_train_accuracy	86.79347826086956	mean with noise
spambase	0.2	0.01	add_noise	16	noisy_train_accuracy	90.97826086956522	mean with noise
spambase	0.2	0.1	add_noise	16	noisy_train_accuracy	91.0054347826087	mean with noise
spambase	0.2	1.0	add_noise	16	noisy_train_accuracy	90.89673913043478	mean with noise
spambase	0.2	10.0	add_noise	16	noisy_train_accuracy	90.29891304347824	mean with noise
spambase	0.2	100.0	add_noise	16	noisy_train_accuracy	88.69565217391305	mean with noise
spambase	0.2	200.0	add_noise	16	noisy_train_accuracy	84.23913043478261	mean with noise
spambase	0.2	0.01	add_noise	32	noisy_train_accuracy	90.40760869565216	mean with noise
spambase	0.2	0.1	add_noise	32	noisy_train_accuracy	90.625	mean with noise
spambase	0.2	1.0	add_noise	32	noisy_train_accuracy	90.57065217391305	mean with noise
spambase	0.2	10.0	add_noise	32	noisy_train_accuracy	90.32608695652172	mean with noise
spambase	0.2	100.0	add_noise	32	noisy_train_accuracy	88.80434782608695	mean with noise
spambase	0.2	200.0	add_noise	32	noisy_train_accuracy	86.60326086956522	mean with noise
spambase	0.2	0.01	add_noise	64	noisy_train_accuracy	90.40760869565216	mean with noise
spambase	0.2	0.1	add_noise	64	noisy_train_accuracy	90.4891304347826	mean with noise
spambase	0.2	1.0	add_noise	64	noisy_train_accuracy	90.19021739130434	mean with noise
spambase	0.2	10.0	add_noise	64	noisy_train_accuracy	89.89130434782608	mean with noise
spambase	0.2	100.0	add_noise	64	noisy_train_accuracy	88.23369565217392	mean with noise
spambase	0.2	200.0	add_noise	64	noisy_train_accuracy	87.66304347826087	mean with noise
spambase	0.2	0.01	add_noise	128	noisy_train_accuracy	90.2445652173913	mean with noise
spambase	0.2	0.1	add_noise	128	noisy_train_accuracy	90.1358695652174	mean with noise
spambase	0.2	1.0	add_noise	128	noisy_train_accuracy	90.19021739130434	mean with noise
spambase	0.2	10.0	add_noise	128	noisy_train_accuracy	89.72826086956522	mean with noise
spambase	0.2	100.0	add_noise	128	noisy_train_accuracy	87.20108695652173	mean with noise
spambase	0.2	200.0	add_noise	128	noisy_train_accuracy	88.53260869565217	mean with noise
spambase	0.3	0.01	add_noise	16	noisy_train_accuracy	90.89673913043478	mean with noise
spambase	0.3	0.1	add_noise	16	noisy_train_accuracy	90.89673913043478	mean with noise
spambase	0.3	1.0	add_noise	16	noisy_train_accuracy	90.89673913043478	mean with noise
spambase	0.3	10.0	add_noise	16	noisy_train_accuracy	90.40760869565216	mean with noise
spambase	0.3	100.0	add_noise	16	noisy_train_accuracy	87.98913043478261	mean with noise
spambase	0.3	200.0	add_noise	16	noisy_train_accuracy	85.08152173913044	mean with noise
spambase	0.3	0.01	add_noise	32	noisy_train_accuracy	90.3804347826087	mean with noise
spambase	0.3	0.1	add_noise	32	noisy_train_accuracy	90.7608695652174	mean with noise
spambase	0.3	1.0	add_noise	32	noisy_train_accuracy	90.51630434782608	mean with noise
spambase	0.3	10.0	add_noise	32	noisy_train_accuracy	90.02717391304348	mean with noise
spambase	0.3	100.0	add_noise	32	noisy_train_accuracy	86.82065217391305	mean with noise
spambase	0.3	200.0	add_noise	32	noisy_train_accuracy	86.73913043478261	mean with noise
spambase	0.3	0.01	add_noise	64	noisy_train_accuracy	90.43478260869566	mean with noise
spambase	0.3	0.1	add_noise	64	noisy_train_accuracy	90.3804347826087	mean with noise
spambase	0.3	1.0	add_noise	64	noisy_train_accuracy	90.02717391304348	mean with noise
spambase	0.3	10.0	add_noise	64	noisy_train_accuracy	89.78260869565217	mean with noise
spambase	0.3	100.0	add_noise	64	noisy_train_accuracy	83.91304347826087	mean with noise
spambase	0.3	200.0	add_noise	64	noisy_train_accuracy	85.57065217391305	mean with noise
spambase	0.3	0.01	add_noise	128	noisy_train_accuracy	90.19021739130434	mean with noise
spambase	0.3	0.1	add_noise	128	noisy_train_accuracy	90.1358695652174	mean with noise
spambase	0.3	1.0	add_noise	128	noisy_train_accuracy	90.21739130434784	mean with noise
spambase	0.3	10.0	add_noise	128	noisy_train_accuracy	89.97282608695653	mean with noise
spambase	0.3	100.0	add_noise	128	noisy_train_accuracy	84.02173913043478	mean with noise
spambase	0.3	200.0	add_noise	128	noisy_train_accuracy	83.64130434782608	mean with noise
spambase	0.4	0.01	add_noise	16	noisy_train_accuracy	91.0054347826087	mean with noise
spambase	0.4	0.1	add_noise	16	noisy_train_accuracy	90.97826086956522	mean with noise
spambase	0.4	1.0	add_noise	16	noisy_train_accuracy	91.25	mean with noise
spambase	0.4	10.0	add_noise	16	noisy_train_accuracy	91.1141304347826	mean with noise
spambase	0.4	100.0	add_noise	16	noisy_train_accuracy	86.33152173913044	mean with noise
spambase	0.4	200.0	add_noise	16	noisy_train_accuracy	87.60869565217392	mean with noise
spambase	0.4	0.01	add_noise	32	noisy_train_accuracy	90.65217391304348	mean with noise
spambase	0.4	0.1	add_noise	32	noisy_train_accuracy	90.35326086956522	mean with noise
spambase	0.4	1.0	add_noise	32	noisy_train_accuracy	91.0054347826087	mean with noise
spambase	0.4	10.0	add_noise	32	noisy_train_accuracy	89.2663043478261	mean with noise
spambase	0.4	100.0	add_noise	32	noisy_train_accuracy	88.20652173913044	mean with noise
spambase	0.4	200.0	add_noise	32	noisy_train_accuracy	82.58152173913044	mean with noise
spambase	0.4	0.01	add_noise	64	noisy_train_accuracy	90.40760869565216	mean with noise
spambase	0.4	0.1	add_noise	64	noisy_train_accuracy	90.3804347826087	mean with noise
spambase	0.4	1.0	add_noise	64	noisy_train_accuracy	90.46195652173913	mean with noise
spambase	0.4	10.0	add_noise	64	noisy_train_accuracy	89.67391304347827	mean with noise
spambase	0.4	100.0	add_noise	64	noisy_train_accuracy	86.49456521739131	mean with noise
spambase	0.4	200.0	add_noise	64	noisy_train_accuracy	85.46195652173914	mean with noise
spambase	0.4	0.01	add_noise	128	noisy_train_accuracy	90.16304347826087	mean with noise
spambase	0.4	0.1	add_noise	128	noisy_train_accuracy	90.27173913043478	mean with noise
spambase	0.4	1.0	add_noise	128	noisy_train_accuracy	89.83695652173913	mean with noise
spambase	0.4	10.0	add_noise	128	noisy_train_accuracy	88.53260869565217	mean with noise
spambase	0.4	100.0	add_noise	128	noisy_train_accuracy	83.91304347826087	mean with noise
spambase	0.4	200.0	add_noise	128	noisy_train_accuracy	84.29347826086956	mean with noise
mnist	0.1	0.01	add_noise	16	noisy_train_accuracy	92.005	mean with noise
