dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,hyperbolic_krum_train_accuracy,hyperbolic_krum_test_accuracy
spambase,0.1,0.01,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.1,0.1,add_noise,16,90.3804347826087,90.66232356134635
spambase,0.1,1.0,add_noise,16,90.3804347826087,90.22801302931596
spambase,0.1,10.0,add_noise,16,90.40760869565217,90.11943539630836
spambase,0.1,100.0,add_noise,16,90.35326086956522,90.33659066232356
spambase,0.1,200.0,add_noise,16,90.3804347826087,90.33659066232356
spambase,0.1,0.01,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.1,0.1,add_noise,32,90.43478260869566,90.11943539630836
spambase,0.1,1.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.1,10.0,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.1,100.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.1,200.0,add_noise,32,90.48913043478261,90.11943539630836
spambase,0.1,0.01,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.1,0.1,add_noise,64,89.89130434782608,89.35939196525516
spambase,0.1,1.0,add_noise,64,89.91847826086956,89.35939196525516
spambase,0.1,10.0,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.1,100.0,add_noise,64,89.83695652173913,89.25081433224756
spambase,0.1,200.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.1,0.01,add_noise,128,89.64673913043478,88.16503800217154
spambase,0.1,0.1,add_noise,128,89.61956521739131,88.38219326818675
spambase,0.1,1.0,add_noise,128,89.70108695652173,88.05646036916394
spambase,0.1,10.0,add_noise,128,89.53804347826086,88.16503800217154
spambase,0.1,100.0,add_noise,128,89.53804347826086,88.16503800217154
spambase,0.1,200.0,add_noise,128,89.51086956521739,88.16503800217154
spambase,0.1,0.0,ipm_attack,16,90.16304347826087,90.44516829533116
spambase,0.1,0.0,ipm_attack,32,90.40760869565217,90.11943539630836
